id,cod_etab,lib_etab,cod_dip,lib_dip,cod_fil,lib_fil,annee,nbr
newdipfiliere_1,FDA,Faculté de Droit Aïn Sebaa,LEF,License dEtudes Fondamentales,S976,Sc. Economiques et Gestion,2014,913
newdipfiliere_2,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,D898,Droit En Arabe,2014,544
newdipfiliere_3,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,D340,Droit En Français,2014,115
newdipfiliere_4,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,L315,Licence Fondamentale en SCiences Economiques et Gestion,2014,1
newdipfiliere_5,FDM,Faculté de Droit Mohammedia,LEF,License dEtudes Fondamentales,S372,Sciences Economiques et Gestion,2014,847
newdipfiliere_6,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,E738,ETUDES ANGLAISES,2014,207
newdipfiliere_7,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,E350,ETUDES ARABES,2014,204
newdipfiliere_8,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,E590,ETUDES FRANCAISES,2014,160
newdipfiliere_9,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,G720,GEOGRAPHIE,2014,98
newdipfiliere_10,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,H410,HISTOIRE ET CIVILISATION,2014,66
newdipfiliere_11,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,L393,Licence Fondamentale  Etudes Islamiques,2014,293
newdipfiliere_12,FLB,Faculté des Lettres Ben M'Sik,LEF,License dEtudes Fondamentales,P740,PHILOSOPHIE,2014,123
newdipfiliere_13,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L343,Licence  Fondamentale Etudes Anglaises,2014,163
newdipfiliere_14,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L988,Licence  Fondamentale Etudes Arabes,2014,115
newdipfiliere_15,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L318,Licence  Fondamentale Etudes Françaises,2014,117
newdipfiliere_16,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L875,Licence  Fondamentale Etudes Hispaniques,2014,22
newdipfiliere_17,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L363,Licence  Fondamentale Etudes Islamiques,2014,176
newdipfiliere_18,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L704,Licence  Fondamentale Géographie,2014,83
newdipfiliere_19,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L230,Licence Fondamentale Histoire et Civilisation,2014,59
newdipfiliere_20,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L106,Licence Fondamentale Psychologie,2014,108
newdipfiliere_21,FLM,Faculté des Lettres Mohammedia,LEF,License dEtudes Fondamentales,L204,Licence Fondamentale Sociologie,2014,67
newdipfiliere_22,FSB,Faculté des Sciences Ben M'Sik,DOC,Doctorat,D877,Doctorat Géologie,2014,1
newdipfiliere_23,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L605,Licence Etudes Fondamentales Science Matière Physique,2014,1151
newdipfiliere_24,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L362,Licence Fondamentale SMC,2014,916
newdipfiliere_25,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L555,Licence Fondamentales SMA,2014,24
newdipfiliere_26,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L904,Licence Fondamentales SMI,2014,158
newdipfiliere_27,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L206,Licence Fondamentales STU,2014,7
newdipfiliere_28,FSB,Faculté des Sciences Ben M'Sik,LEF,License dEtudes Fondamentales,L275,Licence Fondamentales SVI,2014,787
newdipfiliere_29,FST,Faculté des Sciences et Techniques,DEUT,Diplôme des Etudes Universitaires Techniques,D660,DEUST BCG,2014,425
newdipfiliere_30,FST,Faculté des Sciences et Techniques,DEUT,Diplôme des Etudes Universitaires Techniques,D530,DEUST MIP,2014,439
newdipfiliere_31,ENCG,Ecoles Nationales de Commerce et de Gestion,DENCG,Diplôme des Ecoles Nationales de Commerce et de Gestion,D305,Diplôme de l ENCG Casa,2014,341
newdipfiliere_32,ENCG,Ecoles Nationales de Commerce et de Gestion,DENCG,Diplôme des Ecoles Nationales de Commerce et de Gestion,D673,Diplôme ENCG,2014,5
newdipfiliere_33,ENCG,Ecoles Nationales de Commerce et de Gestion,MS,Master Spé,M654,Master spécialisé Actuariat et Finance de Marché,2014,1
